,file,filename,filesize,family,instrument,note,octave,pitch,length,dynamic,style
0,strings/cello/cello_F2_phrase_mezzo-forte_arco-detache.mp3,cello_F2_phrase_mezzo-forte_arco-detache,186722,strings,cello,F,2.0,87.31,phrase,mezzo-forte,arco-detache
1,strings/cello/cello_As2_05_forte_arco-normal.mp3,cello_As2_05_forte_arco-normal,12119,strings,cello,A#,2.0,116.54,05,forte,arco-normal
2,strings/cello/cello_F5_15_fortissimo_arco-normal.mp3,cello_F5_15_fortissimo_arco-normal,23091,strings,cello,F,5.0,698.46,15,fortissimo,arco-normal
3,strings/cello/cello_D5_025_pianissimo_arco-normal.mp3,cello_D5_025_pianissimo_arco-normal,7732,strings,cello,D,5.0,587.33,025,pianissimo,arco-normal
4,strings/cello/cello_C3_1_fortissimo_arco-normal.mp3,cello_C3_1_fortissimo_arco-normal,17762,strings,cello,C,3.0,130.81,1,fortissimo,arco-normal
5,strings/cello/cello_As3_1_mezzo-piano_arco-normal.mp3,cello_As3_1_mezzo-piano_arco-normal,17448,strings,cello,A#,3.0,233.08,1,mezzo-piano,arco-normal
6,strings/cello/cello_As2_1_forte_arco-normal.mp3,cello_As2_1_forte_arco-normal,17135,strings,cello,A#,2.0,116.54,1,forte,arco-normal
7,strings/cello/cello_C6_15_mezzo-piano_arco-normal.mp3,cello_C6_15_mezzo-piano_arco-normal,27479,strings,cello,C,6.0,1046.5,15,mezzo-piano,arco-normal
8,strings/cello/cello_Gs5_025_mezzo-piano_arco-normal.mp3,cello_Gs5_025_mezzo-piano_arco-normal,7730,strings,cello,G#,5.0,830.61,025,mezzo-piano,arco-normal
9,strings/cello/cello_F3_05_forte_arco-normal.mp3,cello_F3_05_forte_arco-normal,11179,strings,cello,F,3.0,174.61,05,forte,arco-normal
10,strings/cello/cello_B5_15_mezzo-piano_arco-normal.mp3,cello_B5_15_mezzo-piano_arco-normal,29046,strings,cello,B,5.0,987.77,15,mezzo-piano,arco-normal
11,strings/cello/cello_E4_05_forte_arco-normal.mp3,cello_E4_05_forte_arco-normal,9925,strings,cello,E,4.0,329.63,05,forte,arco-normal
12,strings/cello/cello_A4_1_forte_arco-normal.mp3,cello_A4_1_forte_arco-normal,17448,strings,cello,A,4.0,440.0,1,forte,arco-normal
13,strings/cello/cello_C3_15_forte_arco-normal.mp3,cello_C3_15_forte_arco-normal,27166,strings,cello,C,3.0,130.81,15,forte,arco-normal
14,strings/cello/cello_Gs4_025_fortissimo_arco-normal.mp3,cello_Gs4_025_fortissimo_arco-normal,8672,strings,cello,G#,4.0,415.3,025,fortissimo,arco-normal
15,strings/cello/cello_G5_05_pianissimo_arco-normal.mp3,cello_G5_05_pianissimo_arco-normal,8984,strings,cello,G,5.0,783.99,05,pianissimo,arco-normal
16,strings/cello/cello_As5_05_mezzo-piano_arco-normal.mp3,cello_As5_05_mezzo-piano_arco-normal,10552,strings,cello,A#,5.0,932.33,05,mezzo-piano,arco-normal
17,strings/cello/cello_Ds4_15_fortissimo_arco-normal.mp3,cello_Ds4_15_fortissimo_arco-normal,15568,strings,cello,D#,4.0,311.13,15,fortissimo,arco-normal
18,strings/cello/cello_E4_025_mezzo-piano_arco-normal.mp3,cello_E4_025_mezzo-piano_arco-normal,10552,strings,cello,E,4.0,329.63,025,mezzo-piano,arco-normal
19,strings/cello/cello_As5_05_pianissimo_arco-normal.mp3,cello_As5_05_pianissimo_arco-normal,10865,strings,cello,A#,5.0,932.33,05,pianissimo,arco-normal
20,strings/cello/cello_As3_1_fortissimo_arco-normal.mp3,cello_As3_1_fortissimo_arco-normal,14628,strings,cello,A#,3.0,233.08,1,fortissimo,arco-normal
21,strings/cello/cello_F4_1_pianissimo_arco-normal.mp3,cello_F4_1_pianissimo_arco-normal,14629,strings,cello,F,4.0,349.23,1,pianissimo,arco-normal
22,strings/cello/cello_Gs5_025_forte_arco-normal.mp3,cello_Gs5_025_forte_arco-normal,9298,strings,cello,G#,5.0,830.61,025,forte,arco-normal
23,strings/cello/cello_C2_phrase_forte_con-sord.mp3,cello_C2_phrase_forte_con-sord,248162,strings,cello,C,2.0,65.41,phrase,forte,con-sord
24,strings/cello/cello_Gs2_15_pianissimo_arco-normal.mp3,cello_Gs2_15_pianissimo_arco-normal,29359,strings,cello,G#,2.0,103.83,15,pianissimo,arco-normal
25,strings/cello/cello_G3_1_mezzo-piano_arco-normal.mp3,cello_G3_1_mezzo-piano_arco-normal,16821,strings,cello,G,3.0,196.0,1,mezzo-piano,arco-normal
26,strings/cello/cello_Cs4_025_pianissimo_arco-normal.mp3,cello_Cs4_025_pianissimo_arco-normal,9300,strings,cello,C#,4.0,277.18,025,pianissimo,arco-normal
27,strings/cello/cello_C6_1_mezzo-piano_arco-normal.mp3,cello_C6_1_mezzo-piano_arco-normal,14313,strings,cello,C,6.0,1046.5,1,mezzo-piano,arco-normal
28,strings/cello/cello_F5_1_forte_arco-normal.mp3,cello_F5_1_forte_arco-normal,14627,strings,cello,F,5.0,698.46,1,forte,arco-normal
29,strings/cello/cello_A3_025_fortissimo_arco-normal.mp3,cello_A3_025_fortissimo_arco-normal,9299,strings,cello,A,3.0,220.0,025,fortissimo,arco-normal
30,strings/cello/cello_Gs2_025_fortissimo_arco-normal.mp3,cello_Gs2_025_fortissimo_arco-normal,8984,strings,cello,G#,2.0,103.83,025,fortissimo,arco-normal
31,strings/cello/cello_A5_05_pianissimo_arco-normal.mp3,cello_A5_05_pianissimo_arco-normal,10238,strings,cello,A,5.0,880.0,05,pianissimo,arco-normal
32,strings/cello/cello_As3_05_mezzo-piano_arco-normal.mp3,cello_As3_05_mezzo-piano_arco-normal,10552,strings,cello,A#,3.0,233.08,05,mezzo-piano,arco-normal
